# panacus histgrowth ecoli2146.pan.explode.0.og.crush.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
666	45781479	0	NaN	NaN
667	45814048	0	NaN	NaN
668	45846594	0	NaN	NaN
669	45879118	0	NaN	NaN
670	45911620	0	NaN	NaN
671	45944099	0	NaN	NaN
672	45976557	0	NaN	NaN
673	46008992	0	NaN	NaN
674	46041405	0	NaN	NaN
675	46073796	0	NaN	NaN
676	46106165	0	NaN	NaN
677	46138512	0	NaN	NaN
678	46170837	0	NaN	NaN
679	46203140	0	NaN	NaN
680	46235422	0	NaN	NaN
681	46267682	0	NaN	NaN
682	46299920	0	NaN	NaN
683	46332136	0	NaN	NaN
684	46364331	0	NaN	NaN
685	46396505	0	NaN	NaN
686	46428657	0	NaN	NaN
687	46460787	0	NaN	NaN
688	46492896	0	NaN	NaN
689	46524984	0	NaN	NaN
690	46557050	0	NaN	NaN
691	46589095	0	NaN	NaN
692	46621119	0	NaN	NaN
693	46653122	0	NaN	NaN
694	46685104	0	NaN	NaN
695	46717064	0	NaN	NaN
696	46749004	0	NaN	NaN
697	46780922	0	NaN	NaN
698	46812820	0	NaN	NaN
699	46844697	0	NaN	NaN
700	46876553	0	NaN	NaN
701	46908388	0	NaN	NaN
702	46940202	0	NaN	NaN
703	46971996	0	NaN	NaN
704	47003769	0	NaN	NaN
705	47035521	0	NaN	NaN
706	47067253	0	NaN	NaN
707	47098965	0	NaN	NaN
708	47130655	0	NaN	NaN
709	47162326	0	NaN	NaN
710	47193976	0	NaN	NaN
711	47225606	0	NaN	NaN
712	47257215	0	NaN	NaN
713	47288804	0	NaN	NaN
714	47320373	0	NaN	NaN
715	47351922	0	NaN	NaN
716	47383450	0	NaN	NaN
717	47414959	0	NaN	NaN
718	47446447	0	NaN	NaN
719	47477916	0	NaN	NaN
720	47509365	0	NaN	NaN
721	47540793	0	NaN	NaN
722	47572202	0	NaN	NaN
723	47603591	0	NaN	NaN
724	47634960	0	NaN	NaN
725	47666309	0	NaN	NaN
726	47697639	0	NaN	NaN
727	47728949	0	NaN	NaN
728	47760240	0	NaN	NaN
729	47791510	0	NaN	NaN
730	47822762	0	NaN	NaN
731	47853994	0	NaN	NaN
732	47885206	0	NaN	NaN
733	47916399	0	NaN	NaN
734	47947573	0	NaN	NaN
735	47978727	0	NaN	NaN
736	48009862	0	NaN	NaN
737	48040977	0	NaN	NaN
738	48072074	0	NaN	NaN
739	48103151	0	NaN	NaN
740	48134209	0	NaN	NaN
741	48165249	0	NaN	NaN
742	48196269	0	NaN	NaN
743	48227270	0	NaN	NaN
744	48258252	0	NaN	NaN
745	48289215	0	NaN	NaN
746	48320159	0	NaN	NaN
747	48351084	0	NaN	NaN
748	48381991	0	NaN	NaN
749	48412879	0	NaN	NaN
750	48443748	0	NaN	NaN
751	48474598	0	NaN	NaN
752	48505430	0	NaN	NaN
753	48536243	0	NaN	NaN
754	48567037	0	NaN	NaN
755	48597813	0	NaN	NaN
756	48628571	0	NaN	NaN
757	48659310	0	NaN	NaN
758	48690030	0	NaN	NaN
759	48720732	0	NaN	NaN
760	48751416	0	NaN	NaN
761	48782081	0	NaN	NaN
762	48812728	0	NaN	NaN
763	48843357	0	NaN	NaN
764	48873968	0	NaN	NaN
765	48904560	0	NaN	NaN
766	48935135	0	NaN	NaN
767	48965691	0	NaN	NaN
768	48996229	0	NaN	NaN
769	49026749	0	NaN	NaN
770	49057251	0	NaN	NaN
771	49087736	0	NaN	NaN
772	49118202	0	NaN	NaN
773	49148650	0	NaN	NaN
774	49179081	0	NaN	NaN
775	49209493	0	NaN	NaN
776	49239888	0	NaN	NaN
777	49270266	0	NaN	NaN
778	49300625	0	NaN	NaN
779	49330967	0	NaN	NaN
780	49361291	0	NaN	NaN
781	49391598	0	NaN	NaN
782	49421886	0	NaN	NaN
783	49452158	0	NaN	NaN
784	49482412	0	NaN	NaN
785	49512648	0	NaN	NaN
786	49542867	0	NaN	NaN
787	49573069	0	NaN	NaN
788	49603253	0	NaN	NaN
789	49633420	0	NaN	NaN
790	49663570	0	NaN	NaN
791	49693702	0	NaN	NaN
792	49723817	0	NaN	NaN
793	49753915	0	NaN	NaN
794	49783996	0	NaN	NaN
795	49814060	0	NaN	NaN
796	49844106	0	NaN	NaN
797	49874136	0	NaN	NaN
798	49904148	0	NaN	NaN
799	49934144	0	NaN	NaN
800	49964122	0	NaN	NaN
801	49994084	0	NaN	NaN
802	50024028	0	NaN	NaN
803	50053956	0	NaN	NaN
804	50083867	0	NaN	NaN
805	50113761	0	NaN	NaN
806	50143639	0	NaN	NaN
807	50173500	0	NaN	NaN
808	50203343	0	NaN	NaN
809	50233171	0	NaN	NaN
810	50262981	0	NaN	NaN
811	50292775	0	NaN	NaN
812	50322553	0	NaN	NaN
813	50352314	0	NaN	NaN
814	50382058	0	NaN	NaN
815	50411786	0	NaN	NaN
816	50441498	0	NaN	NaN
817	50471193	0	NaN	NaN
818	50500871	0	NaN	NaN
819	50530533	0	NaN	NaN
820	50560179	0	NaN	NaN
821	50589809	0	NaN	NaN
822	50619422	0	NaN	NaN
