# panacus histgrowth ecoli2146.pan.explode.0.og.crush.og.2013.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
621	44339990	680347	4185320	7006930
622	44373664	679035	4187288	7010272
623	44407313	677726	4185323	7013607
624	44440938	676420	4187285	7016933
625	44474539	675116	4185326	7020251
626	44508115	673815	4187282	7023561
627	44541667	672516	4185329	7026862
628	44575194	671220	4187279	7030155
629	44608698	669927	4185331	7033440
630	44642177	668637	4187276	7036717
631	44675633	667348	4185334	7007251
632	44709064	666063	4187273	7010543
633	44742471	664780	4185337	7013827
634	44775855	663500	4187270	7017103
635	44809214	662222	4185340	7020372
636	44842550	660947	4187267	7023632
637	44875862	659674	4185342	7026884
638	44909150	658404	4187265	7030128
639	44942415	657137	4185345	7033365
640	44975657	655872	4187262	7036593
641	45008874	654609	4185348	7007562
642	45042069	653349	4187259	7010805
643	45075239	652092	4185350	7014041
644	45108387	650837	4187256	7017268
645	45141511	649585	4185353	7020489
646	45174612	648335	4187254	7023701
647	45207690	647087	4185356	7026905
648	45240745	645842	4187251	7030102
649	45273777	644600	4185358	7033291
650	45306786	643360	4187248	7036472
651	45339771	642122	4185361	7007864
652	45372734	640887	4187246	7011059
653	45405674	639655	4185364	7014248
654	45438592	638425	4187243	7017428
655	45471486	637197	4185366	7020602
656	45504358	635972	4187240	7023767
657	45537207	634749	4185369	7026926
658	45570034	633528	4187238	7030076
659	45602838	632310	4185371	7033220
660	45635619	631095	4187235	7036355
661	45668379	629881	4185374	7008156
662	45701116	628671	4187233	7011305
663	45733830	627462	4185377	7014448
664	45766522	626256	4187230	7017583
665	45799192	625052	4185379	7020711
666	45831840	623851	4187228	7023832
667	45864466	622652	4185382	7026945
668	45897070	621456	4187225	7030051
669	45929651	620261	4185384	7033150
670	45962211	619069	4187223	7036241
671	45994749	617880	4185387	7008439
672	46027265	616693	4187221	7011544
673	46059759	615508	4185390	7014642
674	46092231	614325	4187218	7017733
675	46124682	613145	4185392	7020817
676	46157111	611967	4187216	7023893
677	46189518	610791	4185395	7026963
678	46221904	609618	4187214	7030026
679	46254268	608447	4185397	7033081
680	46286611	607278	4187211	7036130
681	46318932	606111	4185400	7008714
682	46351232	604947	4187209	7011775
683	46383511	603785	4185402	7014830
684	46415768	602626	4187207	7017878
685	46448004	601468	4185405	7020919
686	46480219	600313	4187205	7023953
687	46512413	599160	4185408	7026980
688	46544585	598009	4187202	7030001
689	46576737	596861	4185410	7033015
690	46608868	595714	4187200	7036021
691	46640977	594570	4185413	7008980
692	46673066	593428	4187198	7011999
693	46705134	592289	4185415	7015012
694	46737181	591151	4187196	7018018
695	46769207	590016	4185418	7021017
696	46801213	588883	4187194	7024010
697	46833198	587752	4185420	7026996
698	46865162	586624	4187192	7029976
699	46897106	585497	4185423	7032949
700	46929029	584373	4187190	7035915
701	46960932	583251	4185425	7009238
702	46992814	582131	4187188	7012216
703	47024676	581013	4185428	7015188
704	47056517	579897	4187186	7018153
705	47088338	578784	4185430	7021112
706	47120139	577672	4187184	7024065
707	47151920	576563	4185433	7027011
708	47183680	575456	4187182	7029951
709	47215421	574351	4185435	7032884
710	47247141	573248	4187180	7035811
711	47278841	572147	4185438	7009488
712	47310521	571048	4187178	7012426
713	47342181	569952	4185440	7015358
714	47373821	568857	4187176	7018284
715	47405442	567765	4185443	7021204
716	47437042	566674	4187174	7024118
717	47468623	565586	4185445	7027025
718	47500183	564500	4187172	7029926
719	47531725	563416	4185447	7032821
720	47563246	562334	4187170	7035709
721	47594748	561254	4185450	7009731
722	47626230	560176	4187168	7012630
723	47657693	559100	4185452	7015524
724	47689136	558026	4187167	7018411
725	47720560	556954	4185455	7021293
726	47751964	555885	4187165	7024168
727	47783349	554817	4185457	7027037
728	47814715	553751	4187163	7029901
729	47846061	552688	4185460	7032758
730	47877388	551626	4187161	7035609
731	47908696	550566	4185462	7009966
732	47939984	549509	4187159	7012828
733	47971254	548453	4185464	7015684
734	48002504	547399	4187158	7018534
735	48033735	546347	4185467	7021378
736	48064947	545298	4187156	7024216
737	48096141	544250	4185469	7027049
738	48127315	543204	4187154	7029875
739	48158470	542161	4185472	7032696
740	48189607	541119	4187153	7035511
741	48220724	540079	4185474	7010194
742	48251823	539041	4187151	7013019
